IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
1500001936,39.6938160,47.2854330,1,0,0,0
1500001937,39.7035570,47.2891040,1,60,0,0
1500001938,39.7038770,47.2897350,1,60,0,0
1500001939,39.1443400,47.2900700,6,0,0,0
1500001940,39.7141010,47.2909430,1,60,0,0
1500001941,39.7144120,47.2914700,1,60,0,0
1500001942,39.8309570,47.2948820,1,60,0,0
1500001943,39.2528900,47.2963000,1,90,0,0
1500001944,39.2177250,47.2985150,1,60,0,0
1500001945,39.7849530,47.2985290,1,60,0,0
1500001946,39.7837680,47.2994290,1,60,0,0
1500001947,39.8105650,47.3018500,1,40,0,0
1500001948,39.8033820,47.3067250,1,60,0,0
1500001949,39.7846150,47.3123130,1,60,0,0
1500001950,39.6468550,47.3145940,1,70,0,0
1500001951,39.7405410,47.3196990,1,0,0,0
1500001952,39.0343070,47.3214610,1,60,0,0
1500001953,39.6443070,47.3339270,1,0,0,0
1500001954,39.7366150,47.3397200,1,60,0,0
1500001955,39.8754870,47.3489680,1,0,0,0
1500001956,39.8833600,47.3576300,1,50,0,0
1500001957,39.6942500,47.3683200,1,0,0,0
1500001958,41.1422900,47.3708380,1,0,0,0
1500001959,39.9483040,47.3980620,1,0,0,0
1500001960,39.8368100,47.3995900,1,0,0,0
1500001961,41.2247620,47.4058990,1,70,0,0
